CellID,Index,Ah-throughput,Q
TP_z22_01,41,413.5290551628239,0.995
TP_z22_01,41,874.2333531336924,0.99
TP_z22_01,41,1415.56533644191,0.985
TP_z22_01,41,2080.1987864719854,0.98
TP_z22_01,41,2826.243177525727,0.975
TP_z22_01,41,3775.7809392124645,0.97
TP_z22_01,41,4840.335170457313,0.965
TP_z22_01,41,5959.365638812673,0.96
TP_z22_01,41,7150.401539760303,0.955
TP_z22_01,41,8313.649779647601,0.95
TP_z22_02,42,2.6645352591003757e-14,1.0
TP_z22_02,42,452.9560336608312,0.995
TP_z22_02,42,996.1677162774674,0.99
TP_z22_02,42,1643.8898986706351,0.985
TP_z22_02,42,2443.740790048461,0.98
TP_z22_02,42,3368.159424764221,0.975
TP_z22_02,42,4389.363667974431,0.97
TP_z22_02,42,5442.470700355808,0.965
TP_z22_02,42,6588.500592823843,0.96
TP_z22_02,42,7774.54521955972,0.955
TP_z22_02,42,8927.935636119426,0.95
TP_z22_03,43,3.552713678800501e-14,1.0
TP_z22_03,43,396.1209387252971,0.995
TP_z22_03,43,876.4836557313522,0.99
TP_z22_03,43,1477.9812802485485,0.985
TP_z22_03,43,2246.9728269631705,0.98
TP_z22_03,43,3162.429226286935,0.975
TP_z22_03,43,4235.322176811574,0.97
TP_z22_03,43,5330.084464593003,0.965
TP_z22_03,43,6458.400946953087,0.96
TP_z22_03,43,7626.728366309687,0.955
TP_z22_03,43,8883.787775408204,0.95
TP_z23_01,44,1.1368683772161603e-13,1.0
TP_z23_01,44,72.37725853712419,0.995
TP_z23_01,44,265.09228264312657,0.99
TP_z23_01,44,541.5199450599525,0.985
TP_z23_01,44,865.0351185295472,0.98
TP_z23_01,44,1293.8362109116865,0.975
TP_z23_01,44,1907.392142525368,0.97
TP_z23_01,44,2622.5925606106975,0.965
TP_z23_01,44,3507.1494109741916,0.96
TP_z23_01,44,4555.583272795003,0.955
TP_z23_01,44,5773.463468548167,0.95
TP_z23_02,45,0.0,1.0
TP_z23_02,45,68.46697669494455,0.995
TP_z23_02,45,251.46758408260553,0.99
TP_z23_02,45,515.4013381172232,0.985
TP_z23_02,45,826.6677547530378,0.98
TP_z23_02,45,1214.180815251379,0.975
TP_z23_02,45,1795.8281766084551,0.97
TP_z23_02,45,2486.0063274716395,0.965
TP_z23_02,45,3344.4140414546287,0.96
TP_z23_02,45,4366.315980262114,0.955
TP_z23_02,45,5527.308691284335,0.95
TP_z23_03,46,1.7053025658242404e-13,1.0
TP_z23_03,46,102.82755046049378,0.995
TP_z23_03,46,293.05225717331524,0.99
TP_z23_03,46,546.8649598196805,0.985
TP_z23_03,46,840.4564980808051,0.98
TP_z23_03,46,1188.7491258800148,0.975
TP_z23_03,46,1677.256973051824,0.97
TP_z23_03,46,2281.9392792561257,0.965
TP_z23_03,46,3079.707177077483,0.96
TP_z23_03,46,4104.5423895746935,0.955
TP_z23_03,46,5267.113079139922,0.95
TP_z24_02,47,4.263256414560601e-14,1.0
TP_z24_02,47,471.1190315258244,0.995
TP_z24_02,47,1118.8217428882022,0.99
TP_z24_02,47,2009.688289552686,0.985
TP_z24_02,47,2998.614333407091,0.98
TP_z24_02,47,4231.40476978293,0.975
TP_z24_02,47,5693.657256486909,0.97
TP_z24_02,47,7415.11360820709,0.965
TP_z24_02,47,9330.73782757477,0.96
TP_z24_02,47,11564.736190582387,0.955
TP_z24_02,47,13932.911940043774,0.95
TP_z24_03,48,8.526512829121202e-14,1.0
TP_z24_03,48,383.51888187525566,0.995
TP_z24_03,48,913.142002777787,0.99
TP_z24_03,48,1594.5094143358635,0.985
TP_z24_03,48,2451.861244099385,0.98
TP_z24_03,48,3455.1371692126822,0.975
TP_z24_03,48,4580.2367753942935,0.97
TP_z24_03,48,6011.737072640533,0.965
TP_z24_03,48,7797.65715046104,0.96
TP_z24_03,48,9681.551108600572,0.955
TP_z24_03,48,11750.490264572889,0.95
TP_z25_03,49,5.684341886080802e-14,1.0
TP_z25_03,49,226.91223135749743,0.995
TP_z25_03,49,562.4016511167251,0.99
TP_z25_03,49,967.5963642891973,0.985
TP_z25_03,49,1491.4620742907514,0.98
TP_z25_03,49,2135.6506394656267,0.975
TP_z25_03,49,2859.0345978955847,0.97
TP_z25_03,49,3697.7000799810444,0.965
TP_z25_03,49,4663.6269157309935,0.96
TP_z25_03,49,5855.316317240847,0.955
TP_z25_03,49,7273.363198256525,0.95
