Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09,Q_dch_interp_11,Q_dch_interp_13,Q_dch_interp_17,Q_dch_interp_19,Q_dch_interp_21,Q_dch_interp_23
-4.584902454388938,-4.517054314183509,-4.477436232086237,-4.447295986185961,-4.397448141217691,-4.353025527504265,-4.315882301719634,-4.165633968048156,-3.8880252086099554,-3.692386583485458,-3.765253962603678
-4.577693298481966,-4.510001763309445,-4.4703940513682365,-4.440230779999636,-4.390284067163457,-4.345724611960912,-4.308428433994955,-4.157828405753865,-3.8797486398804044,-3.684213822854899,-3.757354504972776
-4.570355149121303,-4.5028246568270625,-4.463225273101465,-4.433040530135275,-4.382992501863784,-4.338286748093994,-4.300826892777841,-4.14985729712155,-3.87127305035794,-3.6758555649403015,-3.749283067946927
-4.562888621578613,-4.495523236510142,-4.45592996009744,-4.425725573389683,-4.375573984499848,-4.330711962327564,-4.2930776430721656,-4.141719305379309,-3.862610260593444,-3.6673139802860097,-3.741037274570565
-4.555294331125558,-4.488097744132469,-4.448508175167675,-4.418286246559664,-4.368029054252829,-4.323000281085676,-4.2851806498818,-4.133413093755241,-3.853775540973027,-3.6585913138800747,-3.732614727312697
-4.547572893033803,-4.480548421467823,-4.440959981123682,-4.4107228864420245,-4.360358250303906,-4.315151730792383,-4.277135878210615,-4.124937325477446,-3.844784162048579,-3.6496898107105515,-3.724013028641338
-4.5397249225750125,-4.472875510289989,-4.433285440776978,-4.403035829833568,-4.352562111834256,-4.3071663378717435,-4.268943293062486,-4.116291554526183,-3.835651394371989,-3.640611715765495,-3.71522978102451
-4.531751035020851,-4.465079252372749,-4.425484616939078,-4.395225413531099,-4.344641178025059,-4.2990440847255735,-4.260602859440396,-4.107480016484508,-3.826392508495141,-3.6313592740329566,-3.706262586930229
-4.523651845642982,-4.457159889489886,-4.417557572421494,-4.387291974331425,-4.336595988057492,-4.290781200838406,-4.252113524434094,-4.098508479602574,-3.8170227749699235,-3.6219347305009912,-3.6971090488265146
-4.5154279697130715,-4.44911761917483,-4.409504369160231,-4.379235484466851,-4.328427081110202,-4.282367349358323,-4.2434702795250425,-4.0893827130108,-3.8075571277345808,-3.6123403301576538,-3.6877667691813825
-4.507080022502782,-4.440944470091724,-4.401320058328892,-4.371045948003446,-4.320130826198214,-4.273791530914335,-4.234667155481585,-4.080108485839595,-3.797996479572138,-3.6025783179909974,-3.6782333504628513
-4.498603567864807,-4.4326148062718005,-4.3929828987798105,-4.362702432864817,-4.311687333592641,-4.265042746135457,-4.225698183072065,-4.07069156721938,-3.788322968938583,-3.592650938989073,-3.66850639513894
-4.489952659253788,-4.4241006862295436,-4.384467635683694,-4.354183448293434,-4.303072751701696,-4.256109995650704,-4.216557393064823,-4.061137726280562,-3.7785174215738517,-3.582560438139938,-3.658583505677667
-4.481060974719524,-4.415374168479426,-4.375749014211249,-4.3454675035317685,-4.294263228933581,-4.24698228008909,-4.207238816228208,-4.0514522076299,-3.7685606632178796,-3.5723090604316448,-3.6484622845470485
-4.471862051537111,-4.4064073115359275,-4.36680177953318,-4.336533107822285,-4.2852349136965096,-4.2376486000796305,-4.19773648333056,-4.041625753362232,-3.7584335196106005,-3.5618988063187778,-3.6381403342151026
-4.462289621827061,-4.397172173913528,-4.357600676820197,-4.327358770407455,-4.2759639543986845,-4.228097956251339,-4.188044425140224,-4.0316331031730135,-3.7481168164919514,-3.5513220803088066,-3.6276145736476697
-4.452305447382068,-4.387640814126705,-4.3481204512430045,-4.317923000529753,-4.266426499448318,-4.218319349233234,-4.178156672419108,-4.021448171345413,-3.737591567178598,-3.5405587692869656,-3.6168711854338174
-4.4419283044735085,-4.377785290689936,-4.338335847972309,-4.308204307431643,-4.256598697253616,-4.208301779654325,-4.168065960333258,-4.011044872162599,-3.7268426499236376,-3.529587918298452,-3.605887818875429
-4.431183894511404,-4.36757770246272,-4.328221612211031,-4.298181291227693,-4.2464566962227845,-4.198034248143627,-4.157760104553217,-4.000397119907744,-3.715858573636586,-3.518388572388467,-3.5946418876882866
-4.420097891097211,-4.357003494645397,-4.317760353366306,-4.287841681664199,-4.2359815994955685,-4.187505755330158,-4.147225753296034,-3.9894788288640113,-3.704627987890249,-3.50693977660221,-3.583110805588178
-4.408693933421772,-4.346080682436145,-4.306964640457891,-4.277190015349504,-4.225174875847942,-4.176705301842931,-4.136449554778754,-3.97826672551071,-3.6931395422574287,-3.4952205759848805,-3.571271986290884
-4.39699227674257,-4.334832156019134,-4.2958541757601765,-4.266232636864836,-4.214043225891716,-4.165621888310961,-4.12541815721842,-3.966753888218222,-3.6813818863109304,-3.4832100155816756,-3.55910284351219
-4.385012856499725,-4.323280805578547,-4.284448661547555,-4.254975890791423,-4.202593350242507,-4.154244515363262,-4.11411820883208,-3.954939290187026,-3.669343760145998,-3.4708871404377986,-3.5465807909678797
-4.37277560813336,-4.311449521298556,-4.27276780009442,-4.243426121710489,-4.190831949515925,-4.142562903735326,-4.102536925521593,-3.942821912507452,-3.6570163112454352,-3.4582309955984463,-3.533683242373738
-4.360300467083597,-4.299361179824211,-4.260831293675163,-4.231589673566615,-4.178765724331533,-4.130572821763316,-4.090667707139473,-3.930400736269827,-3.6443932904444485,-3.445220626108819,-3.520387611445548
-4.347606416385039,-4.287031348750937,-4.248655026056515,-4.219472546613862,-4.16640325952084,-4.118273060802686,-4.078507754408803,-3.917674742564481,-3.6314685783689167,-3.431834403276252,-3.5066714154325815
-4.334699897127964,-4.274456236943886,-4.236237776546832,-4.207079830808467,-4.153760389336691,-4.105662434604587,-4.0660543234348845,-3.9046429124817426,-3.618236032295343,-3.418046898466782,-3.492516724545487
-4.3215785011478225,-4.261628884646786,-4.2235735371902345,-4.194416467109839,-4.140854691250703,-4.092739756920165,-4.053304670323011,-3.891304227111941,-3.604681234353322,-3.4038313520684382,-3.477911848505361
-4.308239634685767,-4.248542332103377,-4.210656299801294,-4.181487396477394,-4.127703742734503,-4.079503841500569,-4.040256051178481,-3.8776576675454084,-3.590769318118243,-3.3891610030473203,-3.4628455484118614
-4.294680703982951,-4.235189619557389,-4.197480056194574,-4.168297559870546,-4.114325121259707,-4.065953502096949,-4.026905722106592,-3.86370221487247,-3.5764623138892047,-3.3740090903695212,-3.447306585364651
-4.2808991152805245,-4.221563787252556,-4.1840387981846385,-4.154848554163116,-4.100730306640798,-4.052087552460452,-4.013250939212636,-3.849436807202241,-3.5617222519653047,-3.358348853001137,-3.431283720463389
-4.266890569977838,-4.2076541740898215,-4.170324767028931,-4.141112304878252,-4.086871821996908,-4.037904806342226,-3.999288958601913,-3.834844603633566,-3.5465111626456407,-3.342153529908263,-3.414765714807734
-4.252612115693398,-4.193427315269325,-4.156304459567016,-4.127045216918219,-4.072669145049735,-4.023404077493419,-3.9850170363797215,-3.81986952712442,-3.530791076229314,-3.325396360056995,-3.3977413294973484
-4.2379824535175015,-4.178841069124896,-4.14192478174529,-4.112603559483011,-4.058041389076222,-4.008582253813197,-3.9704322351896257,-3.8044495049352967,-3.514524023015422,-3.3080519076282733,-3.380199325631891
-4.222918641150393,-4.163853277080708,-4.127132148515223,-4.097743601772625,-4.042907667353316,-3.9933798795173034,-3.9555078938895027,-3.7885224643266953,-3.4976720333030653,-3.290106070734331,-3.362128464311024
-4.207337736292322,-4.148421706008621,-4.111872974828287,-4.082415575913181,-4.027194289305014,-3.9776735168191895,-3.9401711058592075,-3.772026332559114,-3.480197137391342,-3.2715504994089883,-3.343517506634406
-4.191159033496909,-4.132487674853945,-4.096086533923068,-4.066542221069763,-4.010857933745617,-3.9613362666723275,-3.924343627315452,-3.7548990368930473,-3.4620613655793506,-3.25237688877645,-3.3243552137016983
-4.17431327194984,-4.115955484236491,-4.079675559192978,-4.050038454336642,-3.9938632896102293,-3.9442412300301903,-3.907947214474949,-3.737078504588995,-3.4432267481661913,-3.232576933960923,-3.3046303466125604
-4.156734841329757,-4.09872437585118,-4.062531128921241,-4.032819192252743,-3.976175045877238,-3.9262642839247324,-3.890903620742622,-3.7185026629074525,-3.423655315450962,-3.2121423300866123,-3.2843316664666515
-4.138358132892895,-4.080693591392942,-4.044544316354233,-4.014799352186103,-3.9577578915250338,-3.9073827870131086,-3.8731314646981194,-3.699112115598407,-3.4033090977327616,-3.1910648348408728,-3.2634479343636347
-4.119117943592367,-4.061763771479797,-4.025606397620865,-3.995905907159642,-3.938576515532004,-3.887702317868799,-3.85454022796375,-3.6788629229977245,-3.38215012531069,-3.169339622752535,-3.241968073556747
-4.098985310973398,-4.041887019878081,-4.005663814496372,-3.9761082634407297,-3.918595606876538,-3.867336670657944,-3.835037736563082,-3.657716681680552,-3.360140441411178,-3.1469669792934885,-3.219884554632403
-4.077995628237607,-4.021080650953878,-3.98479267472216,-3.955385158387334,-3.897779854537027,-3.846335089944304,-3.814533899825558,-3.635634995278987,-3.3372634766335274,-3.1239476086357327,-3.1971932971472485
-4.056190905061529,-3.9993661609406432,-3.9630876986806576,-3.9337166317627155,-3.8760841975603277,-3.8244132365287693,-3.792990257005185,-3.612579467425123,-3.313567665879465,-3.1002822149512648,-3.1738903631340416
-4.033521301516207,-3.976739484259935,-3.940613597438731,-3.9111005327053427,-3.8533854638361857,-3.801179329808048,-3.7704221289297815,-3.588511701751053,-3.289113748541044,-3.07597150241208,-3.1499718146255393
-4.009587634388337,-3.9531186122490642,-3.917279479286457,-3.887547609309764,-3.8295229542784233,-3.776336560141449,-3.7468473502877915,-3.5634014354237453,-3.263962464010322,-3.051016175190174,-3.125433713654497
-3.9841998996525705,-3.92840673317754,-3.8929441732778907,-3.8630688598564236,-3.80437124438672,-3.7501877265571446,-3.7222837557676622,-3.537330095282898,-3.238174551679358,-3.025416937457548,-3.1002721222536764
-3.9577626659692227,-3.902508782280139,-3.867468108133953,-3.8376277783353085,-3.778057935087258,-3.7232671456650266,-3.696749180057833,-3.510460236234767,-3.2118072817258607,-2.9991744933861932,-3.0744831024558317
-3.9303556145723597,-3.8753496453618164,-3.840761208486972,-3.811047610216324,-3.7508192614500313,-3.6958069292767437,-3.6702638586573357,-3.48292293524297,-3.1848450221345184,-2.972289547148111,-3.048062716293723
-3.9017637267895138,-3.846867053870445,-3.812790746949686,-3.7831340110173053,-3.7227113574567263,-3.6674205917185234,-3.6428742796667226,-3.4547305020201042,-3.1572028725544237,-2.944762961814458,-3.021007025800108
-3.871852312021287,-3.817049332141375,-3.7835407265583467,-3.7538651043370206,-3.6934175117460644,-3.6378865113686123,-3.61464311343705,-3.4258661697131063,-3.128793190787498,-2.916606453774174,-2.993312234588601
-3.840701669163386,-3.786009309092826,-3.753055927155679,-3.7233833556840996,-3.662587143943581,-3.607223759986544,-3.5856205752867414,-3.3962750941536135,-3.0995284332038184,-2.8878493680331823,-2.9649773782695203
-3.8084262354577088,-3.7538787068644095,-3.7213982506000547,-3.6918282853446964,-3.630372505498358,-3.5756296071909586,-3.555744684624857,-3.3658736245553813,-3.0693765275042493,-2.858522664313541,-2.9360041070132903
-3.7751746018198205,-3.72078924759573,-3.6886364410391708,-3.659258886717315,-3.5975887018921924,-3.543269364386297,-3.524898504538851,-3.334577397737766,-3.0384532438371106,-2.828657302337305,-2.9063941689968487
-3.7411222315004853,-3.6868682404745075,-3.654852413774597,-3.625694864824754,-3.564547457159435,-3.5101768275197567,-3.493061114599849,-3.302302367084115,-3.006898714453926,-2.798284241826529,-2.8761493123971325
-3.7062450325631864,-3.6521146410367056,-3.6201116509478317,-3.591171732712273,-3.5306023541061244,-3.4763632179291815,-3.4603171713459333,-3.269109764564963,-2.9748530716062263,-2.7674344425032715,-2.8452818586184683
-3.6702915866195225,-3.616382079145438,-3.5844394836272904,-3.555735729635402,-3.495513736816472,-3.4418397704495147,-3.4267566975012427,-3.235435951696471,-2.942425706291273,-2.7361388640895865,-2.8138668660558612
-3.6331885662080023,-3.5795163608884555,-3.547855794846596,-3.5194332888866415,-3.46004055424948,-3.4067759563368454,-3.3924630417026775,-3.2016674716135007,-2.9094841241036,-2.7044284768827405,-2.78200244360289
