Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09,Q_dch_interp_11,Q_dch_interp_13,Q_dch_interp_15,Q_dch_interp_17
-1.9890829640324954,-1.953745888017089,-1.9405530383067586,-1.9271524451936803,-1.9089231754639235,-1.8783323444409723,-1.864037925038957,-1.8336509166252066,-1.6996276773677335
-1.95199583257507,-1.9173244509540686,-1.90407891473765,-1.8907162553696821,-1.8703097702429152,-1.8407240111839642,-1.8267567033347942,-1.7963024859586756,-1.6631762155082233
-1.9135291966982442,-1.8806342373960943,-1.8665779385815258,-1.8528617032134869,-1.8343085168639224,-1.8033197552915259,-1.7899243364456918,-1.7588874300423665,-1.6269581525343093
-1.87559325328388,-1.8416731466374439,-1.828685051648589,-1.815265884444424,-1.7963672924493002,-1.7662329791135998,-1.7519816921957105,-1.7215200256048708,-1.5890923905123902
-1.8365054884726109,-1.804678761098565,-1.7900024780360388,-1.7771913207599799,-1.7572802110003367,-1.7266911173055766,-1.713116932699231,-1.6829315397767266,-1.5510669156470112
-1.7972315061315258,-1.7639294756632995,-1.7512366598063365,-1.7383124316581324,-1.7188844967571753,-1.6889007594980092,-1.6746033136137648,-1.645142054836556,-1.5130561711734083
-1.7558825146163723,-1.7249963916366728,-1.7111797700544715,-1.6981716313250883,-1.6790118069920175,-1.6484601338221918,-1.633688144851073,-1.6045101742280767,-1.4749807030804387
-1.7154479433416343,-1.6838281502077959,-1.6708099297249435,-1.6573530224145494,-1.6383800809682163,-1.609143985091834,-1.5942041862413303,-1.5648666748470428,-1.4367619593982512
-1.674053199998527,-1.645053003992303,-1.6316121149756075,-1.6182971535772153,-1.5988259382942078,-1.5685635173171106,-1.554361246805152,-1.5250021837949876,-1.3983406113360004
-1.6314776382946663,-1.6029051204711022,-1.5904484972527,-1.5775377740172831,-1.5579587695675226,-1.528059751999415,-1.5135160762522404,-1.4851612629748268,-1.3597309008209255
-1.5905715294154341,-1.5621593731118413,-1.5495253332790113,-1.537096838207335,-1.5178066637133345,-1.4877323084911696,-1.4728768994370858,-1.4432897801487068,-1.3214366485996818
-1.5480145621136039,-1.5230696804083785,-1.5096534931474799,-1.496784475503747,-1.4764341212556995,-1.4470989078567793,-1.4330392698295056,-1.4039743053247342,-1.2840241096008316
