Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09,Q_dch_interp_11,Q_dch_interp_13
-2.4703464183901254,-2.4132136634068972,-2.366931224489089,-2.327745388511858,-2.2075689127489655,-2.0231866596080788,-1.6990313595126167
-2.4362686146047015,-2.379814999305901,-2.333747061259854,-2.294768277034818,-2.1753636353566908,-1.992603082163792,-1.6712522267036154
-2.402492194120885,-2.346667529339787,-2.3007089553899847,-2.261498661246022,-2.143316243705718,-1.9619668789428115,-1.6432721662411682
-2.368754916983898,-2.313670632492049,-2.2677026725817337,-2.2285488467809964,-2.111215978637772,-1.9312084624950014,-1.61503729148508
-2.3349647099174575,-2.2806196903539275,-2.234618745013824,-2.195681766012431,-2.0788521318409745,-1.9002582453702255,-1.5864955482853982
-2.3010298503600626,-2.247315543091411,-2.2013480181587814,-2.1626814345939698,-2.046081976288956,-1.8690466401183485,-1.5576150295834617
-2.2668494087094393,-2.213699870206966,-2.167781337489131,-2.1293829023133792,-2.0129649393110007,-1.8375040592892349,-1.5283762979588296
-2.2323472170150906,-2.1797775967781647,-2.1338321646500273,-2.0956879048063923,-1.979549822548875,-1.8055623520442388,-1.4987601013147214
-2.1976430218002103,-2.145507290440195,-2.099537579731183,-2.0616256197876353,-1.9457192519136897,-1.773177910167476,-1.4687471875543545
-2.162930047156163,-2.110825044355407,-2.0649649010910376,-2.027241087441916,-1.9113479297331766,-1.7403277089232447,-1.4383183045809433
-2.127920884836251,-2.0757633274458227,-2.0299298760302777,-1.9925772866864415,-1.8764151754234166,-1.7069893606687878,-1.4074542002977033
-2.091800416978686,-2.0404818024189555,-1.9940367185622225,-1.9574277384444978,-1.8409247478033415,-1.6731403556003108,-1.3761356226078503
-2.0545648704291093,-2.004766886625564,-1.9573899147049119,-1.9213451086227518,-1.8048810095231296,-1.6387543817470334,-1.3443465471693117
-2.0173298067640237,-1.9679266039342667,-1.920519794555297,-1.8845314518192169,-1.7685674127612798,-1.603800675058859,-1.312085577678097
-1.980382909559814,-1.9299453374594229,-1.8837751429319591,-1.8470889641085897,-1.7319576628884965,-1.568248218326708,-1.279355459687932
-1.9419629493372592,-1.8924909803676933,-1.8457104344552029,-1.809019063479504,-1.693491255077182,-1.5320687418941592,-1.2461590248837453
-1.903052443814039,-1.8536762493161205,-1.8060729785558536,-1.770244397264267,-1.6551457518147545,-1.4952479780746906,-1.2125212728672847
-1.8633369394150636,-1.813969723068043,-1.7676030852357005,-1.7306740070858262,-1.615902943824749,-1.4577761082245124,-1.178518767735885
-1.822434785223025,-1.7737987545761336,-1.7256230498299747,-1.6902215254934752,-1.5752741444040843,-1.419643570169346,-1.1442353889385377
-1.7816954584227542,-1.731385377465534,-1.6852544098228974,-1.6488686960842664,-1.5348717748105245,-1.380872351350564,-1.1097506712727017
-1.7393024890180329,-1.690255380076768,-1.6423182274372772,-1.6066493979855967,-1.493005249326595,-1.3415461149495966,-1.0751250796552052
-1.6960789198525867,-1.6475324906712925,-1.5991220245755644,-1.5635988372009506,-1.4502024630719752,-1.3017556889123136,-1.0404138483603798
-1.6526172206184022,-1.603824375836562,-1.5555162276952699,-1.519849920017371,-1.4077170362079485,-1.2616056108756593,-1.005694959446375
-1.6089911256219593,-1.5608058573926766,-1.5116334375175446,-1.4758524158148354,-1.3642108252746814,-1.2212387940776637,-0.9711997432394123
-1.5643996198600272,-1.5167821406164055,-1.4668550362792592,-1.4311279484720925,-1.3195448739517153,-1.180846945086086,-0.937222878087659
-1.5198944938799674,-1.4719724595737742,-1.42223440872508,-1.3864985957659834,-1.275902684974784,-1.1406718627635362,-0.904044825865176
-1.4773613940902672,-1.4283295129059468,-1.3783316836478137,-1.3418838177996002,-1.232959524291038,-1.100956018741786,-0.8717598247434163
-1.4348613146808409,-1.3859912978229008,-1.334749582074338,-1.2985699548995986,-1.1902118587581618,-1.0619407017280988,-0.8403324855128651
-1.3938992328113544,-1.3442640485017723,-1.2924833268444038,-1.2556104453960557,-1.1480507372479214,-1.0238594915355903,-0.8097247895246744
-1.3533434267225892,-1.3029997618836677,-1.2501688210840967,-1.2140297767536476,-1.1073359082339478,-0.9868508095753491,-0.7798987181299933
-1.3149053669722466,-1.2638990977956763,-1.211641825653747,-1.173511737659586,-1.06733385176127,-0.9509714803973199,-0.7508162526799727
-1.2783983399205736,-1.2260332267395504,-1.1719588575534272,-1.1341560816183547,-1.028762118382446,-0.9161490470638782,-0.7224393745257632
-1.2433826826201335,-1.1892347308053326,-1.134482075700478,-1.0962628568846464,-0.9920910383907067,-0.8822556924190879,-0.6947300650185138
-1.2094187793975812,-1.1538577046738836,-1.0986631781067642,-1.059701917529852,-0.9563233002629672,-0.8491740223704987,-0.6676310929871604
-1.1764305383041243,-1.1197917751750197,-1.0639190895121606,-1.0242905016425892,-0.9208568032869971,-0.8167904929383276,-0.6409998661744624
-1.145270201478148,-1.0867459607158172,-1.0298828250164633,-0.9898458235785621,-0.8861947321524523,-0.7849915202584973,-0.6146700938191418
-1.114876096342519,-1.0543365767725634,-0.996490659294474,-0.956156373659016,-0.8524751729225971,-0.7536333741733768,-0.5884754842443666
-1.0840933014369762,-1.0220960169729512,-0.9635969705011096,-0.9229261473501105,-0.8191390484711291,-0.7224899368387092,-0.5622497457733051
-1.0531944226265106,-0.9900993002162842,-0.9308833705545331,-0.8898531223749295,-0.7857234833115205,-0.6913211443250171,-0.5358265867291262
-1.0228312052236557,-0.9584975960548625,-0.8980157888489152,-0.8566652485194457,-0.7520019413218378,-0.6598869327028215,-0.5090397154349973
-0.992182302714966,-0.9258518301987954,-0.8646604796526212,-0.8231147303057949,-0.7177684068850274,-0.6279451690831426,-0.4817228402140901
-0.960286280349638,-0.8921964827780606,-0.830561567188085,-0.789021502342173,-0.6828185166863855,-0.5952370343271665,-0.4537104514625826
-0.9265683928761432,-0.8580605955933011,-0.7956415547458585,-0.7541626305832632,-0.6470678472267078,-0.5614956472891682,-0.42488524806107336
-0.8907078746978532,-0.8219443312313865,-0.7594851352993439,-0.7175070631219294,-0.6098260922339039,-0.5264541899725553,-0.39520539990507364
-0.8517908395562326,-0.7832046369219882,-0.7198611348619328,-0.6779889627827446,-0.5701335226426509,-0.48992704537559223,-0.36463565722221347
-0.8083682789710016,-0.7425622632750505,-0.678572871627237,-0.6377572637584846,-0.528707283594555,-0.4519520027885469,-0.3331415969654917
-0.7604212722949872,-0.698493767552318,-0.6335763002996467,-0.5931654385507853,-0.4855913611890263,-0.4126049390643518,-0.30081583305693127
-0.7046383823319714,-0.6487179913553384,-0.585312652182245,-0.5457390490401486,-0.43987970574577856,-0.3719745867499039,-0.2680137544732931
-0.642286419573447,-0.5927721862180239,-0.5320296324929288,-0.4952659993393782,-0.3925450753944411,-0.33038023784507287,-0.23512330898988573
-0.5778049924249885,-0.5356818769079812,-0.47641180597182964,-0.44286261079019723,-0.34507296266755066,-0.2884028698959718,-0.20260969441108162
-0.509495924463834,-0.4747181561260626,-0.4197421037839101,-0.38800922804188803,-0.29651723902198684,-0.24707937589455525,-0.17137628010390174
-0.4406384047364722,-0.4131853641876885,-0.36252832282418374,-0.3337809991208668,-0.24990215416823294,-0.2078716521882749,-0.14245719037146007
-0.37670792444953066,-0.3550918865673972,-0.30750531181154867,-0.2823704137111641,-0.20660470109314452,-0.17210734935581942,-0.11682512348644855
-0.3146195680947293,-0.29914115066933805,-0.2557637641433483,-0.23351967045766947,-0.167728289691476,-0.140591972457941,-0.0950242426635707
-0.2563731650211859,-0.24621984268399827,-0.20839202735325382,-0.18989223706359643,-0.13495977892279126,-0.11387810188856762,-0.07675591324717226
-0.20719047996272388,-0.1985976121691329,-0.1678630413131104,-0.15239706347204043,-0.10863721257143069,-0.09174940566210703,-0.0616206649105508
-0.16768064795426538,-0.1607037383570024,-0.13507406346928896,-0.1225353417479634,-0.08756617801871927,-0.0736861516471345,-0.04921902732700046
-0.13742092613001153,-0.13040536105892458,-0.10940915566781204,-0.09901892684870717,-0.07051337558806256,-0.05916480728870087,-0.039151530169816574
-0.11328411792210132,-0.10646239703428488,-0.08917627603837103,-0.08025089908984165,-0.056680359382979495,-0.047616692389183965,-0.031018703112294474
-0.0938889180446338,-0.08731855540825233,-0.07267243815939625,-0.06487540368234171,-0.04553975317916717,-0.03843869462848884,-0.02442107582772916
-0.07786002941632542,-0.07147072487019855,-0.05891527660946749,-0.05228741519673694,-0.03656829109829472,-0.03102683440884148,-0.018959177989416418
-0.06418346031289224,-0.0581260382330803,-0.047510714857367575,-0.042027601480423185,-0.02924270726203075,-0.024777132132467412,-0.014233539270651789
-0.052526451382629895,-0.04695068459886839,-0.038081881342558355,-0.03363663038079502,-0.023039735792042965,-0.019085608201591456,-0.009844689344730257
