Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09,Q_dch_interp_11,Q_dch_interp_13,Q_dch_interp_15,Q_dch_interp_17,Q_dch_interp_19,Q_dch_interp_21,Q_dch_interp_23,Q_dch_interp_25,Q_dch_interp_27,Q_dch_interp_29,Q_dch_interp_31,Q_dch_interp_33
-4.585070279366787,-4.5389585849116685,-4.518438172632734,-4.494506653581778,-4.467529148059739,-4.438818529114678,-4.414928182542999,-4.371034502740708,-4.337225745135851,-4.3011805838048645,-4.270228651591484,-4.2334604193265495,-4.182632461334533,-4.139349060648693,-4.068595563833755,-4.042761457462943,-4.0862631030236685
-4.578371349354613,-4.532363066658618,-4.511878830892284,-4.48800287459348,-4.4609991122740675,-4.432296375369899,-4.408452102422047,-4.3645409800153905,-4.330599266375765,-4.294514609146353,-4.263557577526165,-4.22675391395634,-4.175868138054244,-4.132557263512107,-4.061726316995238,-4.035882284609309,-4.079615532945018
-4.571553881760565,-4.525633603267029,-4.505166870099743,-4.481336837868892,-4.454307551780444,-4.425619470828756,-4.401807591547709,-4.357876813479018,-4.323800801245889,-4.287677479523134,-4.256715648291749,-4.219878012261768,-4.168929460085,-4.125592447698453,-4.054681249866403,-4.0288294692364595,-4.072798796137064
-4.564619251571949,-4.518769696518907,-4.498298782081379,-4.474503423077654,-4.447450422459162,-4.4187852901642835,-4.394989550254835,-4.351037177242151,-4.316827243239349,-4.2806661879397785,-4.249699900658069,-4.21282987720414,-4.161813405775432,-4.118451680094573,-4.04745736109362,-4.0216001249667475,-4.065810070684892
-4.557568665874727,-4.51177084819625,-4.491271058663461,-4.467497509889409,-4.440423680190522,-4.4117913080495095,-4.387992878878276,-4.34401724541535,-4.309675485849272,-4.273477727400863,-4.242507371394963,-4.2056066717447615,-4.1545169534741815,-4.111132027587305,-4.040051649323263,-4.014191365422523,-4.05864653467358
-4.5503952337146,-4.504636549620528,-4.484080191672254,-4.4603139779737955,-4.433223280854814,-4.404634999157468,-4.380812477752879,-4.336812192109177,-4.302342422568786,-4.26610909091096,-4.235135097272268,-4.1982055588449425,-4.147037081529881,-4.103630557063491,-4.032461113201704,-4.006600304226139,-4.05130536618821
-4.543080533067519,-4.497361671601239,-4.476722672934027,-4.452947707000455,-4.425845180332336,-4.397313838161185,-4.3734432472135,-4.329417191434194,-4.294824946891017,-4.258557271474649,-4.227580115059824,-4.190623701465991,-4.139370768291168,-4.095944335409971,-4.0246827513753125,-3.998824054999951,-4.043783743313867
-4.53560526040405,-4.489929228157232,-4.469194994275047,-4.4453935766390265,-4.418285334503384,-4.389823867201646,-4.365880087594988,-4.321827417500963,-4.287119952309094,-4.250819262096499,-4.219839461527464,-4.182858262569212,-4.131514992106677,-4.088070429513585,-4.016713562490464,-3.9908597313663092,-4.0360788441356314
-4.527950112194765,-4.482320357961592,-4.461493647521585,-4.437646466559154,-4.410539699248253,-4.382154594316569,-4.358117899232195,-4.314038044420046,-4.279224332316142,-4.2428920557810885,-4.211910173445025,-4.174906405115916,-4.123466731325046,-4.080005906261173,-4.008550545193529,-3.9827044469475674,-4.028187846738585
-4.520095784910228,-4.474516199687398,-4.453615124499906,-4.429701256430475,-4.40260423044724,-4.374293665599793,-4.350151582459969,-4.306044246302005,-4.271134980405289,-4.23477264553299,-4.203789287582348,-4.166765292067408,-4.115222964294912,-4.071747832539578,-4.00019069813088,-3.9743553153660787,-4.020107929207812
-4.51202297502101,-4.466497892007729,-4.445555917036279,-4.421552825922632,-4.394474883980637,-4.366228727008284,-4.341976037613164,-4.2978411972574015,-4.262848790069663,-4.226458024356779,-4.1954738407092655,-4.158432086385,-4.106780669364906,-4.063293275235636,-3.9916310199488887,-3.965809450244196,-4.011836269628393
-4.503712378997678,-4.458246573595669,-4.437312516956968,-4.413196054705262,-4.386147615728743,-4.357947424499016,-4.333586165026629,-4.289424071396798,-4.254362654802389,-4.2179451852570296,-4.186960869595617,-4.149903951029994,-4.098136824883668,-4.05463929056658,-3.9828683717475517,-3.9570638599041215,-4.003370046085411
-4.495144693310801,-4.449743383124296,-4.428881416088247,-4.40462582244801,-4.3776183815718515,-4.349437404028959,-4.324976865035215,-4.280788042830755,-4.245673465007172,-4.209231121238317,-4.17824740928731,-4.1411780489637025,-4.089288409199834,-4.0457815000813975,-3.9738978796789177,-3.9481131620156433,-3.9947063264392075
-4.4863010546588935,-4.44096945926669,-4.420258804148176,-4.395837008820514,-4.368883137390259,-4.34068631155508,-4.3161430379737755,-4.271928260478508,-4.236775929466057,-4.200312374473573,-4.169328543026801,-4.132251016742486,-4.080232324227131,-4.036712658179783,-3.964713482432383,-3.9389496008299645,-3.985841535339009
-4.47716783095827,-4.431905988388207,-4.411427378147792,-4.386824493492416,-4.359937839064259,-4.331681793034353,-4.307079584177158,-4.262837485130632,-4.227658751168718,-4.191180129914471,-4.160193655214634,-4.123114077878519,-4.070962789455106,-4.02742517827877,-3.9553090956067116,-3.929565318744962,-3.9767718647766137
-4.467734819825485,-4.422534749534118,-4.402351223274013,-4.377582448817348,-4.350777847992523,-4.322411070324429,-4.297781287023674,-4.253504157842497,-4.218309608558504,-4.181822060201836,-4.150831095731642,-4.1137552721705495,-4.061470698340576,-4.017911473795392,-3.945678634800664,-3.9199524581585163,-3.9674935064245176
-4.457991878548304,-4.4128379231104295,-4.392993065462375,-4.368092338042032,-4.341386867570433,-4.312856941521947,-4.2882382007340585,-4.24391626508235,-4.208716180078758,-4.17222577686799,-4.14122921445866,-4.104162598642402,-4.051746737314591,-4.008163958146678,-3.935816015613004,-3.910103161468507,-3.958002651955216
-4.447928864414488,-4.4027976971196745,-4.383315630648423,-4.358324625312217,-4.33173796363317,-4.302999574079076,-4.278434128487972,-4.234061793318441,-4.198866144172821,-4.162378891445258,-4.131376361276518,-4.094324056317895,-4.041781592808194,-3.9981750447496616,-3.925715153642495,-3.900009571072811,-3.948295493041206
-4.4375356347118,-4.392396259564387,-4.37328164476769,-4.348249411699135,-4.321803812159881,-4.292819100629878,-4.268352444685216,-4.223928729019017,-4.188747179284042,-4.152269015465965,-4.121260886066048,-4.084227644220849,-4.031565951252435,-3.987937147021373,-3.9153699644878968,-3.8896638293693067,-3.9383682213549824
-4.4268020467280085,-4.381615798447101,-4.362853833755722,-4.337836798274019,-4.3115570891297175,-4.2822956538084105,-4.257976523725588,-4.21350505865233,-4.178346963855763,-4.141883760462437,-4.110871138708086,-4.073861361375087,-4.021090499078362,-3.977442678378844,-3.9047743637479737,-3.8790580787558744,-3.928217028569043
-4.415717957750873,-4.37043850177035,-4.3519949235480535,-4.327056886108097,-4.300970470521824,-4.271409366248731,-4.247289740008885,-4.202778768686624,-4.167653176331328,-4.131210737966997,-4.10019546908346,-4.063213206804427,-4.010345922717024,-3.9666840522391076,-3.8939222670214875,-3.8681844616303924,-3.917838106355882
-4.404274399228529,-4.358846557536667,-4.340667762943424,-4.315879776272598,-4.290016632315353,-4.260140370584897,-4.236275467934904,-4.191737845590148,-4.156653495154083,-4.1202375595119705,-4.089222227073004,-4.05227117953269,-3.9993229085994644,-3.9556536820191948,-3.8828075899072005,-3.8570351203907385,-3.9072276463879967
-4.392484637367446,-4.34682682144033,-4.328861591841039,-4.304275569838755,-4.278668250489448,-4.248468799450969,-4.224917081903449,-4.180370275831153,-4.145335598767371,-4.10895183662968,-4.077939762557553,-4.041023278583699,-3.9880121431567357,-3.9443439811361385,-3.8714242480038754,-3.8456021974347943,-3.896381840337883
-4.380381807015363,-4.334403695513177,-4.316624702060276,-4.292220426263251,-4.266900461367634,-4.236377754796744,-4.213197956314314,-4.168664045877888,-4.133687165614537,-4.097341180852454,-4.066336425417935,-4.0294575029812725,-3.9764043128198847,-3.9327473630069685,-3.8597661569102755,-3.833877835160437,-3.885296879878037
-4.36799974207822,-4.321619682069143,-4.304013401928539,-4.279734966738276,-4.254717653794512,-4.22386623295804,-4.201101465567297,-4.1566071421986,-4.121695874138926,-4.085393203712615,-4.054400565534987,-4.0175618517492335,-3.964490104019959,-3.9208562410487184,-3.8478270496633264,-3.8218541202183482,-3.8739689566809536
-4.355372276461952,-4.308517399891514,-4.291083999773235,-4.266859618314028,-4.242143403008391,-4.210938526366013,-4.188610984062199,-4.144187551261536,-4.109349402783879,-4.073095516742485,-4.042120532789537,-4.0053243239114,-3.952260203188003,-3.9086608225259574,-3.835590549667206,-3.8095172273827433,-3.8623941817361596
-4.342533244072499,-4.295139467763586,-4.27789280392177,-4.253634898879165,-4.2292016184193,-4.197598931081401,-4.175709886198815,-4.131393259534947,-4.0966354299927445,-4.060435731474392,-4.0294846770624195,-3.992732918491593,-3.939704797463605,-3.8961407398160306,-3.8230250773801546,-3.7968422727441253,-3.8505620013528494
