Q_dch_interp_01,Q_dch_interp_03,Q_dch_interp_05,Q_dch_interp_07,Q_dch_interp_09,Q_dch_interp_11,Q_dch_interp_13,Q_dch_interp_15,Q_dch_interp_17,Q_dch_interp_19,Q_dch_interp_21,Q_dch_interp_23,Q_dch_interp_25
-4.154282909408323,-4.16489175817151,-4.154539173456877,-4.1456395379725075,-4.13221727753554,-4.122122291390545,-4.125116795059705,-4.098212594895439,-4.0731772421280885,-4.059074978413185,-4.052019276499623,-4.032882731149401,-4.00620768263291
-4.134571005990535,-4.146064034398242,-4.135248671250023,-4.126081445938479,-4.112696340091531,-4.1008278650237235,-4.105757481542591,-4.0780517467895185,-4.0524672582206955,-4.038040847349846,-4.031455685507279,-4.012171884419539,-3.986112048496594
-4.114011363500161,-4.12626250324303,-4.114902212475986,-4.1055712202634025,-4.092151424052725,-4.082358295418163,-4.085389442274478,-4.056754345532011,-4.030776172276061,-4.015717613482035,-4.009960443320143,-3.990334151187143,-3.9647244933990184
-4.092584689019154,-4.1053649670837995,-4.093457306146918,-4.084026153979464,-4.0704431645506665,-4.059973355806922,-4.063920142342256,-4.034358871640217,-4.008000718157393,-3.9928109162332643,-3.9874977905212137,-3.9673973149267128,-3.942277238556188
-4.070230942883802,-4.083345968248205,-4.070966297527844,-4.061363540118852,-4.047432196716901,-4.037027824323271,-4.0412810868713365,-4.011022982339051,-3.98403778745054,-3.9690019156973566,-3.964031967693498,-3.9435353091477214,-3.91896080890725
-4.046873136365643,-4.060212917395725,-4.047481912939328,-4.0375011321052865,-4.023072564028149,-4.013244077003087,-4.017717270098753,-3.9868970517021425,-3.958830824580457,-3.9434499879075973,-3.939535219819921,-3.918918785357193,-3.894693793960377
-4.022406740412974,-4.035958465007177,-4.022833905792658,-4.012438792049989,-3.998016085557438,-3.987926685288403,-3.9933367098716883,-3.9619890420563664,-3.93245254381153,-3.917412793258344,-3.9140269529108367,-3.8935724460035073,-3.86954124535139
-3.996536593596039,-4.010477311186208,-3.996849849037378,-3.9863614684052564,-3.972459174613428,-3.9590795873560487,-3.9679075001615414,-3.9337193721312387,-3.905315449093962,-3.8902539545724895,-3.8875437865761073,-3.8646431666292926,-3.8436089173181593
-3.969416520899793,-3.9836243285260897,-3.969229098530257,-3.959567719184309,-3.944759712598238,-3.933617609675614,-3.941423483346011,-3.9073402736775926,-3.8770333111737583,-3.862337033136341,-3.8601257489602494,-3.8393281460043855,-3.8169839128758922
-3.9421185065970175,-3.9553519311596674,-3.9409089214088313,-3.931668960389065,-3.917175090632976,-3.9060784710630108,-3.9138695683655116,-3.8797348417352517,-3.8477456167235937,-3.8331330479062955,-3.8318499156649732,-3.811692230555769,-3.789619766289928
-3.9130654268474525,-3.9267162770426163,-3.9126624632761673,-3.902559571552314,-3.888034790640137,-3.876684505210655,-3.8850455934284667,-3.850190684437035,-3.818179134687943,-3.803647415613607,-3.8028156914953106,-3.7825467830596233,-3.76141101311891
-3.8816574587136867,-3.897413358305845,-3.882762714227159,-3.8723938783769847,-3.857652256813591,-3.8453525997595883,-3.855202194990499,-3.8192924160122472,-3.7868513619771416,-3.773025542023499,-3.7730738042020557,-3.7523545045975912,-3.732194731842912
-3.850391487681634,-3.865637299194009,-3.8519098918717916,-3.8413277274940625,-3.8264033189784845,-3.8149648788140986,-3.824359994302074,-3.7883451192441293,-3.7552346987263445,-3.740757169146676,-3.7425870501280687,-3.7221392363903316,-3.7017121483570543
-3.8186943337249084,-3.8333578947364777,-3.8192267768053645,-3.809517913845118,-3.7943473842133724,-3.782906657539127,-3.7923058866259747,-3.7551826402824378,-3.722096233517317,-3.7088023688908742,-3.7113049248074423,-3.691072032096871,-3.669768686227975
-3.7846875258705057,-3.800587451577655,-3.786271002160565,-3.7767612163835906,-3.76122663467929,-3.7491570745235867,-3.759033833886483,-3.7218061058698524,-3.688142809426022,-3.6748082712085877,-3.679107242688034,-3.6580599870624977,-3.637367207506482
-3.7493380441291477,-3.766036967783413,-3.7518994693185705,-3.742309421436806,-3.7265428857115457,-3.714465683385049,-3.7250481907309756,-3.6872260924879696,-3.6535694669347194,-3.641443538988981,-3.6458241409852583,-3.6228157064643782,-3.6044333110735733
-3.7136429461436213,-3.730812572676251,-3.717366136204552,-3.706373684229175,-3.691348652834226,-3.679191576316449,-3.6905492811109486,-3.6529460433061507,-3.617552667067259,-3.6072406255390668,-3.6115314601276554,-3.5890677298825535,-3.5706524043649988
-3.6781594800681137,-3.695281309914465,-3.6812434137895917,-3.6699237979649766,-3.6556094503562426,-3.643625096475986,-3.6550001503411926,-3.6173496725197554,-3.5817901598511392,-3.5717998925891408,-3.576581131154198,-3.5556211043331336,-3.5357189065694214
-3.6408501905951867,-3.657961277916582,-3.644195448423258,-3.6328694383904763,-3.618183659992834,-3.605435050048136,-3.6178222371369055,-3.5815080524006375,-3.545084738304942,-3.5355064823751947,-3.5410919896558894,-3.5194453208443126,-3.500807373808544
-3.602384320755226,-3.619571305501104,-3.605502122940953,-3.5949284646244473,-3.580460197154971,-3.5675009234841766,-3.582115732864778,-3.545979366977277,-3.5079432512835065,-3.4989705814549827,-3.5048859736802256,-3.4818787804977385,-3.4643972883437053
-3.563412978108241,-3.5801680557812112,-3.566325497218276,-3.556356152762306,-3.5417286943260287,-3.528242758014879,-3.543829209299061,-3.50814926250409,-3.469792601636305,-3.461098751444217,-3.4673459811386778,-3.444593395687483,-3.426619848623974
-3.522567949490481,-3.539879233081502,-3.525657794856835,-3.516284951798675,-3.5022490478935335,-3.4894829488661774,-3.506048044752964,-3.4698498090344665,-3.432951196178474,-3.4236012282190034,-3.4287149878675587,-3.406524866673841,-3.3881057577590603
-3.4831794030433643,-3.5005734544941767,-3.48526932044153,-3.4758703059339062,-3.4613480152611515,-3.4493770947336855,-3.4670618143594862,-3.4322543040680586,-3.394522703525184,-3.3857814838755145,-3.390993778749173,-3.367597603186318,-3.3502542296594875
